SUBJECT	OBJECT	METALINK_ID
http://af.dbpedia.org/resource/Rostof_aan_die_Don	http://lt.dbpedia.org/resource/Rostovas_prie_Dono	https://krr.triply.cc/krr/metalink/id/link/211807131
http://af.dbpedia.org/resource/Rostof_aan_die_Don	http://lv.dbpedia.org/resource/Rostova_pie_Donas	https://krr.triply.cc/krr/metalink/id/link/211807133
http://af.dbpedia.org/resource/Rostof_aan_die_Don	http://nl.dbpedia.org/resource/Rostov_aan_de_Don	https://krr.triply.cc/krr/metalink/id/link/211807135
http://af.dbpedia.org/resource/Rostof_aan_die_Don	http://nn.dbpedia.org/resource/Rostov-na-Donu	https://krr.triply.cc/krr/metalink/id/link/211807137
http://af.dbpedia.org/resource/Rostof_aan_die_Don	http://no.dbpedia.org/resource/Rostov-na-Donu	https://krr.triply.cc/krr/metalink/id/link/211807139
http://af.dbpedia.org/resource/Rostof_aan_die_Don	http://oc.dbpedia.org/resource/Rostov_de_Don	https://krr.triply.cc/krr/metalink/id/link/211807141
http://af.dbpedia.org/resource/Rostof_aan_die_Don	http://pl.dbpedia.org/resource/Rostów_nad_Donem	https://krr.triply.cc/krr/metalink/id/link/211807143
http://af.dbpedia.org/resource/Rostof_aan_die_Don	http://pnb.dbpedia.org/resource/روستوو_نا_دانو	https://krr.triply.cc/krr/metalink/id/link/211807145
http://af.dbpedia.org/resource/Rostof_aan_die_Don	http://pnb.dbpedia.org/resource/روسٹوف_اون_ڈون	https://krr.triply.cc/krr/metalink/id/link/211807147
http://af.dbpedia.org/resource/Rostof_aan_die_Don	http://pt.dbpedia.org/resource/Rostov_do_Don	https://krr.triply.cc/krr/metalink/id/link/211807149
http://af.dbpedia.org/resource/Rostof_aan_die_Don	http://ro.dbpedia.org/resource/Rostov-pe-Don	https://krr.triply.cc/krr/metalink/id/link/211807151
http://af.dbpedia.org/resource/Rostof_aan_die_Don	http://ru.dbpedia.org/resource/Ростов-на-Дону	https://krr.triply.cc/krr/metalink/id/link/211807153
http://af.dbpedia.org/resource/Rostof_aan_die_Don	http://sco.dbpedia.org/resource/Rostov-on-Don	https://krr.triply.cc/krr/metalink/id/link/211807155
http://af.dbpedia.org/resource/Rostof_aan_die_Don	http://simple.dbpedia.org/resource/Rostov_on_Don	https://krr.triply.cc/krr/metalink/id/link/211807157
http://af.dbpedia.org/resource/Rostof_aan_die_Don	http://sk.dbpedia.org/resource/Rostov_nad_Donom	https://krr.triply.cc/krr/metalink/id/link/211807159
http://af.dbpedia.org/resource/Rostof_aan_die_Don	http://sl.dbpedia.org/resource/Rostov_na_Donu	https://krr.triply.cc/krr/metalink/id/link/211807161
http://af.dbpedia.org/resource/Rostof_aan_die_Don	http://sr.dbpedia.org/resource/Ростов_на_Дону	https://krr.triply.cc/krr/metalink/id/link/211807163
http://af.dbpedia.org/resource/Rostof_aan_die_Don	http://sv.dbpedia.org/resource/Rostov-na-Donu	https://krr.triply.cc/krr/metalink/id/link/211807165
http://af.dbpedia.org/resource/Rostof_aan_die_Don	http://tg.dbpedia.org/resource/Ростов-на-Дону	https://krr.triply.cc/krr/metalink/id/link/211807167
http://af.dbpedia.org/resource/Rostof_aan_die_Don	http://tr.dbpedia.org/resource/Rostov-na-Donu	https://krr.triply.cc/krr/metalink/id/link/211807169
http://af.dbpedia.org/resource/Rostof_aan_die_Don	http://tt.dbpedia.org/resource/Дондагы_Ростов	https://krr.triply.cc/krr/metalink/id/link/211807171
http://af.dbpedia.org/resource/Rostof_aan_die_Don	http://tt.dbpedia.org/resource/Тындагы_Ростов	https://krr.triply.cc/krr/metalink/id/link/211807173
http://af.dbpedia.org/resource/Rostof_aan_die_Don	http://uk.dbpedia.org/resource/Ростов-на-Дону	https://krr.triply.cc/krr/metalink/id/link/211807175
http://af.dbpedia.org/resource/Rostof_aan_die_Don	http://uz.dbpedia.org/resource/Rostov-Don	https://krr.triply.cc/krr/metalink/id/link/211807177
http://af.dbpedia.org/resource/Rostof_aan_die_Don	http://vi.dbpedia.org/resource/Rostov_trên_sông_Đông	https://krr.triply.cc/krr/metalink/id/link/211807179
